Product Name,Rating & Review,Rating No,Actual Price,Selling Price,Offer,Memory,Display,Camera,Battery
"Samsung Galaxy A35 5G (Awesome Lilac, 128 GB)","49,084 Ratings & 2,868 Reviews",4.4,"₹33,999","₹17,999",47% off,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) Full HD+ Display,50MP + 8MP + 5MP | 13MP Front Camera,5000 mAh Battery
"realme P3 Ultra 5G (Neptune Blue, 128 GB)","12,509 Ratings & 1,249 Reviews",4.4,"₹31,999","₹18,999",40% off,8 GB RAM | 128 GB ROM,17.35 cm (6.83 inch) Display,50MP + 8MP | 16MP Front Camera,6000 mAh Battery
"POCO C71 (Cool Blue, 128 GB)","21,150 Ratings & 1,013 Reviews",4.1,"₹9,999","₹6,799",32% off,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,17.48 cm (6.88 inch) HD+ Display,32MP Rear Camera | 8MP Front Camera,5200 mAh Battery
"Samsung Galaxy F06 5G (Bahama Blue, 64 GB)","30,434 Ratings & 1,837 Reviews",4.1,"₹12,499","₹7,499",40% off,4 GB RAM | 64 GB ROM | Expandable Upto 1500 GB,17.02 cm (6.7 inch) HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery
"realme P4 Pro 5G (Midnight Ivy, 128 GB)","10,523 Ratings & 893 Reviews",4.4,"₹28,999","₹22,999",20% off,8 GB RAM | 128 GB ROM,17.27 cm (6.8 inch) Display,50MP + 8MP | 50MP Front Camera,7000 mAh Battery
"Samsung Galaxy A35 5G (Awesome Navy, 256 GB)","49,084 Ratings & 2,868 Reviews",4.4,"₹36,999","₹19,999",45% off,8 GB RAM | 256 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) Full HD+ Display,50MP + 8MP + 5MP | 13MP Front Camera,5000 mAh Battery
"OPPO K13x 5G 6000mAh and 45W SUPERVOOC Charger & AI (Sunset Peach, 128 GB)","15,515 Ratings & 1,319 Reviews",4.4,"₹15,999","₹11,999",25% off,4 GB RAM | 128 GB ROM | Expandable Upto 2 TB,16.94 cm (6.67 inch) HD+ Display,50MP + 2MP | 8MP Front Camera,6000 mAh Battery
"POCO M7 Pro 5G (Lunar Dust, 128 GB)","26,264 Ratings & 1,999 Reviews",4.3,"₹18,999","₹11,499",39% off,6 GB RAM | 128 GB ROM,16.94 cm (6.67 inch) Full HD+ Display,50MP + 2MP | 20MP Front Camera,5110 mAh Battery
"realme C61 (Marble Black, 64 GB)","24,255 Ratings & 712 Reviews",4.4,"₹8,999","₹5,999",33% off,4 GB RAM | 64 GB ROM | Expandable Upto 2 TB,17.13 cm (6.745 inch) HD+ Display,32MP Rear Camera | 5MP Front Camera,5000 mAh Battery
"Ai+ Pulse (Blue, 64 GB)","28,081 Ratings & 1,744 Reviews",4.3,"₹7,999","₹4,999",37% off,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,17.13 cm (6.745 inch) HD+ Display,50MP Rear Camera | 5MP Front Camera,5000 mAh Battery
"Samsung Galaxy A35 5G (Awesome Iceblue, 128 GB)","49,084 Ratings & 2,868 Reviews",4.4,"₹33,999","₹17,999",47% off,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) Full HD+ Display,50MP + 8MP + 5MP | 13MP Front Camera,5000 mAh Battery
"Samsung Galaxy A35 5G (Awesome Navy, 128 GB)","49,084 Ratings & 2,868 Reviews",4.4,"₹33,999","₹17,999",47% off,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) Full HD+ Display,50MP + 8MP + 5MP | 13MP Front Camera,5000 mAh Battery
"Samsung Galaxy F06 5G (Bahama Blue, 128 GB)","14,742 Ratings & 923 Reviews",4.2,"₹15,499","₹8,999",41% off,6 GB RAM | 128 GB ROM | Expandable Upto 1500 GB,17.02 cm (6.7 inch) HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery
"vivo T4x 5G (Glacial Teal, 128 GB)","1,67,319 Ratings & 7,496 Reviews",4.4,"₹17,999","₹13,499",25% off,6 GB RAM | 128 GB ROM,17.07 cm (6.72 inch) Display,50MP + 2MP | 8MP Front Camera,6500 mAh Battery
Samsung Guru GT-E1200,14 Ratings & 2 Reviews,3.4,"₹1,499","₹1,197",20% off,154 MB RAM | 40 GB ROM,3.86 cm (1.52 inch) Display,0.5MP Rear Camera,800 mAh Battery
"realme C71 (Sea Blue, 128 GB)","4,141 Ratings & 150 Reviews",4.2,"₹10,999","₹7,499",31% off,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,17.14 cm (6.75 inch) HD+ Display,13MP Rear Camera | 5MP Front Camera,6300 mAh Battery
"Samsung Galaxy A35 5G (Awesome Lilac, 256 GB)","49,084 Ratings & 2,868 Reviews",4.4,"₹36,999","₹19,999",45% off,8 GB RAM | 256 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) Full HD+ Display,50MP + 8MP + 5MP | 13MP Front Camera,5000 mAh Battery
"Samsung Galaxy F06 5G (Bahama Blue, 128 GB)","30,434 Ratings & 1,837 Reviews",4.1,"₹13,999","₹7,999",42% off,4 GB RAM | 128 GB ROM | Expandable Upto 1500 GB,17.02 cm (6.7 inch) HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery
"OPPO K13x 5G 6000mAh and 45W SUPERVOOC Charger & AI (Breeze Blue, 128 GB)","59,629 Ratings & 4,944 Reviews",4.5,"₹16,999","₹12,999",23% off,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,16.94 cm (6.67 inch) HD+ Display,50MP + 2MP | 8MP Front Camera,6000 mAh Battery
"POCO C71 (Power Black, 128 GB)","21,150 Ratings & 1,013 Reviews",4.1,"₹9,999","₹6,799",32% off,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,17.48 cm (6.88 inch) HD+ Display,32MP Rear Camera | 8MP Front Camera,5200 mAh Battery
"Samsung Galaxy F06 5G (Lit Violet, 64 GB)","30,434 Ratings & 1,837 Reviews",4.1,"₹12,499","₹7,499",40% off,4 GB RAM | 64 GB ROM | Expandable Upto 1500 GB,17.02 cm (6.7 inch) HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery
"POCO M7 5G (Mint Green, 128 GB)","10,299 Ratings & 513 Reviews",4.2,"₹13,999","₹9,499",32% off,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.48 cm (6.88 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,5160 mAh Battery
"MOTOROLA g35 5G (Guava Red, 128 GB)","96,777 Ratings & 6,304 Reviews",4.2,"₹12,499","₹8,999",28% off,4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.07 cm (6.72 inch) Full HD+ Display,50MP + 8MP | 16MP Front Camera,5000 mAh Battery
"MOTOROLA Edge 60 Pro (Pantone Shadow, 256 GB)","10,803 Ratings & 922 Reviews",4.3,"₹40,999","₹29,999",26% off,12 GB RAM | 256 GB ROM,17.02 cm (6.7 inch) Display,50MP + 50MP + 10MP | 50MP Front Camera,6000 mAh Battery
